Stock,Date,m_kama,v_bb_l,t_ema,v_dc_m,v_kc_l,v_kc_h,v_bb_h,m_rsi,v_fi,v_eom_sig,v_bb_p,v_vpt,v_kc_p,m_ppo_hist,v_ui,Eod_Value
VFH,2014-06-19,36.23913195269107,34.987476091553845,36.101155748812594,35.73929801922658,35.63672922865279,36.119046998191635,36.84816462499889,65.7867109540319,3764.5255712864937,15.734910123382363,0.7890919518701618,4123.836449704274,1.6980531535520604,0.05749350805573583,0.7444344769676037,36.59667205810547
VFH,2014-06-20,36.24537520974796,35.11957954554727,36.167224590051646,35.80976964951934,35.720508395583686,36.19343013936523,36.874223478744725,68.04171092000092,5862.344495585829,16.104099093603896,0.8418189494814036,4629.90937211192,1.8526609825884872,0.07219698983056522,0.7444344769676037,36.6514778137207
VFH,2014-06-23,36.250134245185635,35.24432675350421,36.23179168654086,35.96636992624766,35.79528343342402,36.26898832960423,36.9005924512077,68.90009637665906,6497.57565782008,15.625313365072444,0.8495925878122035,4911.600631220317,1.807442539016882,0.07948984844714468,0.7444344769676037,36.413021087646484
VFH,2014-06-24,36.25145099021362,35.324309193869375,36.255955606688275,36.03591059691119,35.84710844826156,36.32412862526701,36.91342846177027,61.198075591781674,272.20472033992337,14.690408404590084,0.6851039539752182,3899.908248910428,1.1863494809328807,0.030018993480733558,0.7644720810552359,36.47598648071289
VFH,2014-06-25,36.257809457547765,35.43686781130442,36.285293056558224,36.03982155664002,35.890175003109945,36.37987432424812,36.90859842099538,62.39350714709124,1212.8799467101687,4.98045238409565,0.7060522235293241,4088.2181199432957,1.1962676939011938,0.0006410504625227187,0.7751085600702714,36.365814208984375
VFH,2014-06-26,36.26218566208611,35.55496745255315,36.296029210215046,36.071142686392704,35.92616859695322,36.43168704413985,36.88094677779353,58.97010126176781,-586.2165698992358,-0.4369206942544382,0.6115078425406287,3776.2102274199915,0.8696925195864221,-0.04504061467417342,0.8026108614064141,36.46023941040039
VFH,2014-06-27,36.272863421262294,35.671704724949635,36.31792390357309,36.071142686392704,35.96559921197337,36.480628925319124,36.856269213038644,60.947820206315996,1337.4711505355879,0.26957656091839777,0.6656747634929141,4130.377946562192,0.9604109930157658,-0.062459216240199567,0.8146352522838693,36.499595642089844
VFH,2014-06-30,36.296401601353736,35.78057010118918,36.34214680204199,36.12987208776176,36.018649364047974,36.5188662469102,36.833221173835234,61.77485455493877,2270.3053739907436,1.0381461214700294,0.6830616142282044,4346.155759378146,0.9614755009665201,-0.07080927827420824,0.8205128686040877,36.719947814941406
VFH,2014-07-01,36.330007574550805,35.887817173569715,36.39252027042858,36.259468983243764,36.06898259005392,36.580312608954685,36.8299104875631,66.10323151254406,9655.154196470303,5.439543724417247,0.8832783642677846,5824.64466266664,1.2730823554754382,-0.04115378925456825,0.7879073875766194,36.664859771728516
VFH,2014-07-02,36.33931219456984,35.98699954501904,36.42883220393524,36.3142695534746,36.11894469531027,36.62566465681679,36.81662785061085,64.14762618557765,7166.215869400607,7.0609387867523745,0.8170649701084256,5613.113477160512,1.0773506431347155,-0.037506990577474864,0.7045597649251121,36.89307403564453
VFH,2014-07-03,36.38151920313762,35.981478986730586,36.49073111482981,36.38090500439213,36.18006278020073,36.64925504251202,36.89172200203894,68.32790657886358,13614.857786564917,7.5298962233934,1.001485354551316,7039.730396336148,1.5196568927446437,-0.0006653401718323959,0.6086076375374357,36.719947814941406
VFH,2014-07-07,36.386609919500856,35.97943426245404,36.52129334151136,36.38090500439213,36.201708486382365,36.66474033485274,36.92253793603229,62.38533082939872,-639.3961892222578,7.429092256884583,0.785187857107762,4704.199343523989,1.119230416376426,-0.015182413116985538,0.4261010323475348,36.46812057495117
